id,kind,area,surface,capability,handler,events,exposure,sdk,mcp,consumers,fixtures,platforms,status,nextGate,source,reason
"dom:#btn-combine-flatten","dom","animation-rigs-expressions","combine-existing-row > button#btn-combine-flatten","Flatten","src/js/timeline.js:11666","click","UI (contextual)","none","none (R14)","selection@2 persist@2 history@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:861",""
"dom:#btn-combine-intersect","dom","animation-rigs-expressions","combine-mode-row > button#btn-combine-intersect","Intersect — keep only the overlapping area (Alt+click: non-destructive combine)","src/js/timeline.js:11651","click","UI (contextual)","none","none (R14)","selection@2 persist@2 history@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:856",""
"dom:#btn-combine-remove","dom","animation-rigs-expressions","combine-existing-row > button#btn-combine-remove","Remove from group","src/js/timeline.js:11659","click","UI (contextual)","none","none (R14)","selection@1 persist@2 history@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:860",""
"dom:#btn-combine-subtract","dom","animation-rigs-expressions","combine-mode-row > button#btn-combine-subtract","Subtract — cut later shapes out of the first (Alt+click: non-destructive combine)","src/js/timeline.js:11651","click","UI (contextual)","none","none (R14)","selection@2 persist@2 history@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:855",""
"dom:#btn-combine-unite","dom","animation-rigs-expressions","combine-mode-row > button#btn-combine-unite","Union — merge shapes into one (Alt+click: non-destructive combine)","src/js/timeline.js:11651","click","UI (contextual)","none","none (R14)","selection@2 persist@2 history@2 render@2 animation@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:854",""
"dom:#btn-comp","dom","timeline-layers-frames","layer-ctrls > button#btn-comp","Convert layer to component","src/js/timeline.js:11437","click","UI","none","none (R14)","persist@3 history@3 render@3","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2223",""
"dom:#btn-comp-detach","dom","drawing-selection","comp-instance-sec > button#btn-comp-detach","Bake into layer","src/js/timeline.js:11439","click","UI (contextual)","none","none (R14)","history@2 render@2 persist@3 animation@3 selection@3 native@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1449",""
"dom:#btn-comp-enter","dom","drawing-selection","comp-instance-sec > button#btn-comp-enter","Edit component…","src/js/timeline.js:11438","click","UI (contextual)","none","none (R14)","persist@2 animation@2 render@2 selection@3 native@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1430",""
"dom:#btn-comp-preview","dom","drawing-selection","comp-instance-sec > button#btn-comp-preview","Preview window…","src/js/timeline.js:11338 initCompPreview()","click","UI (contextual)","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1429",""
"dom:#btn-convert-media","dom","media-import-export","media-convert-row > button[button]#btn-convert-media","Convertir les médias…","src/js/linked-media.js:713 initSettingUI()","click","UI (contextual)","none","none (R14)","persist@2 history@2 native@2 render@3","mesh | media | export","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1288",""
"dom:#btn-cycle","dom","timeline-layers-frames","tl-toolbar > button#btn-cycle","Cycle — repeats the selected frame range N times (walk cycles)","src/js/timeline.js:8988 initCycleAndPropagate()","click","UI","none","none (R14)","persist@2 history@2 render@2 selection@3 native@3 animation@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2171",""
"dom:#btn-dims-lock","dom","drawing-selection","canvas-sec > button[button]#btn-dims-lock","Link width/height (keep proportions)","src/js/timeline.js:10507","click","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:768",""
"dom:#btn-dl","dom","timeline-layers-frames","layer-ctrls > button#btn-dl","Delete active layer","src/js/timeline.js:11435","click","UI","none","none (R14)","persist@2 history@2 animation@2 render@2 selection@3 native@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2221",""
"dom:#btn-dup-add-effector","dom","effects-masks","duplicator-sec > button#btn-dup-add-effector","+ Effector","src/js/timeline.js:11488","click","UI (contextual)","none","none (R14)","history@1 animation@2 render@2 persist@3 selection@3 native@3","masks-alpha | mesh","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1534",""
"dom:#btn-dup-edit-source","dom","drawing-selection","dup-edit-source-row > button#btn-dup-edit-source","Edit source shape…","src/js/timeline.js:11509","click","UI (contextual)","none","none (R14)","animation@1 persist@2 render@2 selection@3 native@3 history@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1537",""
"dom:#btn-dup-reseed","dom","drawing-selection","duplicator-sec > button#btn-dup-reseed","New random seed","src/js/timeline.js:11479","click","UI (contextual)","none","none (R14)","history@1 animation@2 render@2 persist@3 selection@3 native@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1496",""
"dom:#btn-dupl","dom","timeline-layers-frames","layer-ctrls > button#btn-dupl","Duplicate active layer","src/js/timeline.js:11436","click","UI","none","none (R14)","persist@2 history@2 render@2 selection@3 native@3 animation@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2222",""
"dom:#btn-edit-pcurve","dom","animation-rigs-expressions","tool-opts-sec > button#btn-edit-pcurve","Edit the curve…","src/js/timeline.js:10823","click","UI","none","none (R14)","render@3","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1186",""
"dom:#btn-ellipse-arc-convert","dom","timeline-layers-frames","ellipse-arc-convert-row > button#btn-ellipse-arc-convert","Make dynamic","src/js/timeline.js:2876","click","UI (contextual)","none","none (R14)","persist@1 history@1 selection@1 render@1 animation@3 native@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:523",""
"dom:#btn-export","dom","media-import-export","legacy-project-actions > button#btn-export","export","src/js/timeline.js:11746","click","UI (contextual)","none","none (R14)","export@1","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1621",""
"dom:#btn-ff","dom","timeline-layers-frames","tl-toolbar > button#btn-ff","Go to first frame","src/js/timeline.js:11400","click","UI","none","none (R14)","animation@1 render@2 persist@2 selection@2 native@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2134",""
"dom:#btn-fill-propagate","dom","drawing-selection","p-fillpropagate-row > button#btn-fill-propagate","Propagate to all frames","src/js/fill-bridge.js:224 init()","click","UI (contextual)","none","none (R14)","history@1 render@1 persist@2 animation@2 selection@2 native@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1177",""
"dom:#btn-fit","dom","timeline-layers-frames","canvas-sec > button#btn-fit","Fit — fit the canvas to the viewport","src/js/timeline.js:11082","click","UI","none","none (R14)","","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:820",""
"dom:#btn-footage-replace","dom","media-import-export","footage-sec > button#btn-footage-replace","Replace source…","src/js/images.js:759","click","UI (contextual)","none","none (R14)","native@1 persist@2 history@2 render@2 selection@3 animation@3","mesh | media | export","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1413",""
"dom:#btn-ghost-all","dom","timeline-layers-frames","tl-toolbar > button#btn-ghost-all","Ghost all keyframes — shows every keyframe of the active layer at once","src/js/timeline.js:11156","click","UI","none","none (R14)","render@2 persist@3 selection@3 animation@3","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2160",""
"dom:#btn-ghost-select","dom","timeline-layers-frames","tl-toolbar > button#btn-ghost-select","Select all keyframes' content to move/transform together","src/js/timeline.js:11246","click","UI","none","none (R14)","history@2 selection@2 render@2 animation@3","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2161",""
"dom:#btn-grad-add-stop","dom","drawing-selection","p-grad-addstop-row > button#btn-grad-add-stop","+ Stop","src/js/gradient-bridge.js:301 init()","click","UI (contextual)","none","none (R14)","persist@1 history@1 render@1 selection@2 animation@3 native@3","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:906",""
"dom:#btn-history","dom","project-lifecycle-integrations","legacy-project-actions > button#btn-history","history","src/js/project.js:730 initStartScreen()","click","UI (contextual)","none","none (R14)","native@1 persist@2 animation@3 render@3","media | migration","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1617",""
"dom:#btn-imagemesh-reset","dom","animation-rigs-expressions","p-imagemesh-body > button#btn-imagemesh-reset","Reset shape","src/js/image-mesh-bridge.js:380 init()","click","UI (contextual)","none","none (R14)","history@1 render@1 persist@3 animation@3 native@3 selection@3","static-props | keyed-props | expression-props | held-frames | text | migration","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1064",""
"dom:#btn-import-img","dom","media-import-export","legacy-project-actions > button#btn-import-img","import img","src/js/images.js:349","click","UI (contextual)","none","none (R14)","native@1 persist@2 history@2 render@2 animation@2 selection@3","mesh | media | export","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1622",""
"dom:#btn-import-psd","dom","media-import-export","legacy-project-actions > button#btn-import-psd","import psd","src/js/psd-import-bridge.js:101 init()","click","UI (contextual)","none","none (R14)","","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1626",""
"dom:#btn-import-video","dom","media-import-export","legacy-project-actions > button#btn-import-video","import video","src/js/images.js:706","click","UI (contextual)","none","none (R14)","native@1 persist@2 history@2 render@2 selection@3 animation@3","mesh | media | export","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1624",""
"dom:#btn-kitsu-open","dom","project-lifecycle-integrations","legacy-project-actions > button#btn-kitsu-open","kitsu open","src/js/kitsu.js:426 initKitsuUI()","click","UI (contextual)","none","none (R14)","","media | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1616",""
"dom:#btn-kitsu-publish","dom","project-lifecycle-integrations","legacy-project-actions > button#btn-kitsu-publish","kitsu publish","src/js/kitsu.js:452 initKitsuUI()","click","UI (contextual)","none","none (R14)","","media | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1619",""
"dom:#btn-lf","dom","timeline-layers-frames","tl-toolbar > button#btn-lf","Go to last frame","src/js/timeline.js:11404","click","UI","none","none (R14)","animation@1 render@2 persist@2 selection@2 native@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2138",""
"dom:#btn-lip-apply","dom","drawing-selection","comp-instance-sec > button#btn-lip-apply","Analyse and apply","src/js/timeline.js:11361 initLipSync()","click","UI (contextual)","none","none (R14)","persist@1 history@1 render@1 selection@2 native@2 animation@2","static-props | masks-alpha | text | interaction","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1447",""
"dom:#btn-loop","dom","timeline-layers-frames","tl-toolbar > button#btn-loop","Loop playback (work area) — right-click for ping-pong","src/js/timeline.js:11304 | src/js/timeline.js:11305","click | contextmenu","UI","none","none (R14)","","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2139",""
"dom:#btn-mask-unset","dom","effects-masks","mask-sec > button#btn-mask-unset","Remove as mask","src/js/timeline.js:2806","click","UI (contextual)","none","none (R14)","persist@1 history@1 selection@1 render@1 animation@2 native@3","masks-alpha | mesh","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:501",""
"dom:#btn-mblur","dom","timeline-layers-frames","tl-toolbar > button#btn-mblur","Flou de mouvement de la composition — clic droit : échantillons et obturateur","src/js/timeline.js:9099 bindMotionBlur() | src/js/timeline.js:9100 bindMotionBlur()","click | contextmenu","UI","none","none (R14)","render@2 history@3 animation@3","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2182",""
"dom:#btn-media-cleanup","dom","media-import-export","media-statusbar > button[button]#btn-media-cleanup","media cleanup","src/js/media-library.js:902 init()","click","UI","none","none (R14)","","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1314",""
"dom:#btn-media-import-img","dom","media-import-export","media-statusbar > button[button]#btn-media-import-img","Image(s)…","src/js/media-library.js:900 init()","click","UI","none","none (R14)","native@2 persist@3 history@3 render@3 animation@3","mesh | media | export","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1316",""
"dom:#btn-media-import-video","dom","media-import-export","media-statusbar > button[button]#btn-media-import-video","Video…","src/js/media-library.js:901 init()","click","UI","none","none (R14)","native@2 persist@3 history@3 render@3","mesh | media | export","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1319",""
"dom:#btn-media-mode-embedded","dom","media-import-export","media-mode-row > button[button]#btn-media-mode-embedded","Embedded","src/js/linked-media.js:694 initSettingUI()","click","UI (contextual)","none","none (R14)","","mesh | media | export","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1284",""
"dom:#btn-media-mode-linked","dom","media-import-export","media-mode-row > button[button]#btn-media-mode-linked","Linked","src/js/linked-media.js:695 initSettingUI()","click","UI (contextual)","none","none (R14)","native@1","mesh | media | export","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1285",""
"dom:#btn-mgraph","dom","animation-rigs-expressions","tl-toolbar > button#btn-mgraph","Éditeur de courbes (Maj+F3) — clic droit : valeur/vitesse · Alt+clic : figer l'échelle","src/js/motion-graph.js:477 | src/js/motion-graph.js:481","click | contextmenu","UI","none","none (R14)","","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2184",""
"dom:#btn-mp-new-tab","dom","animation-rigs-expressions","assets-view-presets > button#btn-mp-new-tab","Nouvel onglet","src/js/motion-preset-picker.js:159","click","UI (contextual)","none","none (R14)","","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1330",""
"dom:#btn-mp-save","dom","animation-rigs-expressions","assets-view-presets > button#btn-mp-save","Save layer as preset","src/js/motion-preset-picker.js:158","click","UI (contextual)","none","none (R14)","","static-props | keyed-props | expression-props | held-frames | text | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1329",""
"dom:#btn-new","dom","project-lifecycle-integrations","legacy-project-actions > button#btn-new","new","src/js/project.js:727 initStartScreen()","click","UI (contextual)","none","none (R14)","","media | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1615",""
"dom:#btn-nf","dom","timeline-layers-frames","tl-toolbar > button#btn-nf","Next frame","src/js/timeline.js:11403","click","UI","none","none (R14)","animation@1 render@2 persist@2 selection@2 native@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2137",""
"dom:#btn-open","dom","project-lifecycle-integrations","legacy-project-actions > button#btn-open","open","src/js/project.js:726 initStartScreen()","click","UI (contextual)","none","none (R14)","native@1 persist@2 animation@3 render@3","media | migration","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1614",""
"dom:#btn-open-tutorial-topbar","dom","project-lifecycle-integrations","app-topbar > button#btn-open-tutorial-topbar","Discover Nemo — interactive tutorial","src/js/tutorial.js:1898","click","UI","none","none (R14)","","media | migration","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:160",""
"dom:#btn-os","dom","timeline-layers-frames","tl-toolbar > button#btn-os","Onion skin on/off (O)","src/js/timeline.js:11155 | src/js/timeline.js:11312 initOnionPopover() | src/js/timeline.js:11395 initOnionTintShift()","click | contextmenu","UI","none","none (R14)","","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2155",""
"dom:#btn-os-outline","dom","timeline-layers-frames","tl-toolbar > button#btn-os-outline","Onion skin outlines only","src/js/timeline.js:11260","click","UI","none","none (R14)","","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2156",""
"dom:#btn-palette-add-fill","dom","drawing-selection","swatches-sec > button#btn-palette-add-fill","Add the current Fill color to the palette","src/js/palette-panel.js:265 init()","click","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1212",""
"dom:#btn-palette-add-stroke","dom","drawing-selection","swatches-sec > button#btn-palette-add-stroke","Add the current Stroke color to the palette","src/js/palette-panel.js:266 init()","click","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1213",""
"dom:#btn-palette-new","dom","drawing-selection","swatches-sec > button#btn-palette-new","Create a new palette","src/js/palette-panel.js:268 init()","click","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1201",""
"dom:#btn-palette-replace","dom","drawing-selection","swatches-sec > button#btn-palette-replace","Replace a color in the active layer: click the source, then the target","src/js/palette-panel.js:275 init()","click","UI","none","none (R14)","","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1217",""
"dom:#btn-palette-swap","dom","drawing-selection","swatches-sec > button#btn-palette-swap","Swap Fill ↔ Stroke","src/js/palette-panel.js:270 init()","click","UI","none","none (R14)","persist@2 history@2 selection@2 render@2 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:1214",""
"dom:#btn-pf","dom","timeline-layers-frames","tl-toolbar > button#btn-pf","Previous frame","src/js/timeline.js:11401","click","UI","none","none (R14)","animation@1 render@2 persist@2 selection@2 native@3","keyed-props | held-frames | components","desktop (native bridge); browser degrades or is gated","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2135",""
"dom:#btn-play","dom","timeline-layers-frames","tl-toolbar > button#btn-play","Play / Stop (Enter)","src/js/timeline.js:11402","click","UI","none","none (R14)","render@3 persist@3","keyed-props | held-frames | components","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:2136",""
"dom:#btn-pt-corner","dom","drawing-selection","sp-pointtype-row > button#btn-pt-corner","Corner","src/js/timeline.js:10767","click","UI (contextual)","none","none (R14)","persist@2 history@2 render@2 selection@3 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:469",""
"dom:#btn-pt-smooth","dom","drawing-selection","sp-pointtype-row > button#btn-pt-smooth","Smooth","src/js/timeline.js:10768","click","UI (contextual)","none","none (R14)","persist@2 history@2 render@2 selection@3 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:470",""
"dom:#btn-pt-symmetric","dom","drawing-selection","sp-pointtype-row > button#btn-pt-symmetric","Symmetric","src/js/timeline.js:10769","click","UI (contextual)","none","none (R14)","persist@2 history@2 render@2 selection@3 animation@3","static-props | masks-alpha | text | interaction","browser and desktop","inventoried","R12/R13: characterize against a fixture and diagnostics","src/index.html:471",""
