scope	name	sha	disposition	archive_ref	reason
local	codex/a2a-live-responder	7481870fe0a77b2ed0a790fa1e492944c9aa570d	candidate	refs/archive/local/codex/a2a-live-responder	exact tip and full reachable history already contained in audited origin/main
local	codex/a2a-skill-v1	7b6078f1f5bc113c3eb4f1cc31b86e4f175c5d6c	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/application-mcp-integration-20260907	ade71cb688813de789ff74c31058e49928382486	retain		registered worktree branch
local	codex/application-mcp-slice-20260906	fc7145e6358434a7a07957aea416ed4470fa90cb	candidate	refs/archive/local/codex/application-mcp-slice-20260906	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-016f3b8b308f	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-016f3b8b308f	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-0193f5bfb625	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-0193f5bfb625	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-048c0a67cab4	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-048c0a67cab4	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-04c57b0c1698	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-04c57b0c1698	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-04d3bc5345ed	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-04d3bc5345ed	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-0724eaca19f1	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-0724eaca19f1	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-08ecf185c80e	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-08ecf185c80e	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-0931d4be0d61	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-0931d4be0d61	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-0a0d4b6f5478	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-0a0d4b6f5478	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-0b4a1d3940e8	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-0b4a1d3940e8	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-0be705930157	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-0be705930157	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-0c4c27c80a10	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-0c4c27c80a10	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-0d591a6ea850	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-0d591a6ea850	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-0ece0e92cc73	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-0ece0e92cc73	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-10674ae951e4	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-10674ae951e4	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-1136cb6c4b27	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-1136cb6c4b27	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-114d8f317a46	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-114d8f317a46	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-11e37b0b37bd	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-11e37b0b37bd	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-1288d921aac4	de959e047e94e019db50cf0b5f6ea9b9bcdd2b46	candidate	refs/archive/local/codex/buzz-1288d921aac4	complete Git tree is identical to integrated main-history commit fc7145e6358434a7a07957aea416ed4470fa90cb; distinct commit history preserved in bundle
local	codex/buzz-14fb2185acbb	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-14fb2185acbb	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-160d855ca1a2	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-160d855ca1a2	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-16dd87d1e993	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-16dd87d1e993	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-179bf4ea12da	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-179bf4ea12da	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-19c6d9fd25f0	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-19c6d9fd25f0	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-1a65df389954	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-1a65df389954	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-1be543e034e9	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-1be543e034e9	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-1d7010cc30fc	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-1d7010cc30fc	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-23c16f4f14d9	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-23c16f4f14d9	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-2882bffa93aa	69cc436a5485a8453c02965126018ac4a0d5f336	retain		open PR head or base: #955
local	codex/buzz-2bd7640f76c4	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-2bd7640f76c4	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-2c97bc80eb6b	42ffff921d168dca0249d6c8de46332b43227b4b	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-2cc3657b6947	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-2cc3657b6947	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-2d7f58561f03	421c26984e9396e65de74b3ba2f1123fa8b9d810	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-2e7d080099d6	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-2e7d080099d6	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-2f64d9d01c8e	4f72560e89e9983a89ff9e8db8aa1cdbe00bca5f	candidate	refs/archive/local/codex/buzz-2f64d9d01c8e	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-34409f2969e3	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-34409f2969e3	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-34950424e650	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-34950424e650	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-370990aeab10	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-370990aeab10	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-380eb63c8dfc	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-380eb63c8dfc	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-38f19ff2ee27	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-38f19ff2ee27	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-3909f05e3713	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-3909f05e3713	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-3c636dd00ca4	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-3c636dd00ca4	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-3d4c137e6482	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-3d4c137e6482	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-3d7e932956a6	d7a79ffa588198424e3ad74b5cebe1b25368c655	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-3d82c79242a4	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-3d82c79242a4	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-3e3912d522a2	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-3e3912d522a2	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-3ef9d9ae5a17	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-3ef9d9ae5a17	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-3f98ac2c3df9	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-3f98ac2c3df9	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-40b3ca66ec93	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-40b3ca66ec93	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-40d12b578066	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-40d12b578066	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-4396c6618199	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-4396c6618199	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-482169e483a6	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-482169e483a6	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-482d60420d3c	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-482d60420d3c	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-4b41c8f24d73	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-4b41c8f24d73	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-4e687b4d01e9	b53fccae6426f14b6541e927869a0abc1515c415	candidate	refs/archive/local/codex/buzz-4e687b4d01e9	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-4ebcfc77cd26	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-4ebcfc77cd26	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-4f7f1424c083	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-4f7f1424c083	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-4f9ee4b41cdf	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-4f9ee4b41cdf	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-50efa62fb597	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-50efa62fb597	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-518453585f53	143b3acdae98a00cdaf49983f5aa4d70ee935dc7	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-5426fbc87c4a	2e37f07d4565a72daad1212bf3e9cecd14641077	candidate	refs/archive/local/codex/buzz-5426fbc87c4a	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-54286c25b33d	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-54286c25b33d	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-56e49e3b0706	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-56e49e3b0706	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-57318d0a13b6	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-57318d0a13b6	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-574b7ecde5e0	05b5784a98046444534bf9e28f6e69e5f74ce9a4	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-59bd4cb0c9bd	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-59bd4cb0c9bd	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-5c59d0e3c726	0748950660f1b49817b0f3b15e5c73fb806381ed	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-5c63ee5b49ed	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-5c63ee5b49ed	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-5d028a0a88ea	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-5d028a0a88ea	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-5f208792b49a	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-5f208792b49a	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-5fe1186331de	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-5fe1186331de	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-602241215967	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-602241215967	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-603b97c8d3dc	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-603b97c8d3dc	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-60a99813c2f6	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-60a99813c2f6	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-614661f3b03b	32306fbcc1831fae7e05658e13709179f9d59c33	candidate	refs/archive/local/codex/buzz-614661f3b03b	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-61c530a763ae	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-61c530a763ae	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-61c731a85bd1	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-61c731a85bd1	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-64e43591d38a	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-64e43591d38a	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-65e0a8fd13e7	5daa6b5b01583f1559284142ef52dc8427371da6	candidate	refs/archive/local/codex/buzz-65e0a8fd13e7	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-66b3c317431d	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-66b3c317431d	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-6af683f06746	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-6af683f06746	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-6b61c7d803d4	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-6b61c7d803d4	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-6c089ea7c9df	1053aa59ec6eb34b60234abeb79bbad606e9192e	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-6c4ce7b78da8	e798788c3fd5597f30b1b303b7bb8ea597741877	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-6c9de6f4e6c0	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-6c9de6f4e6c0	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-6d1cf48604ba	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-6d1cf48604ba	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-6ddc8efb164a	b827e736c0706a6f39e3435feb50174d02cc2427	candidate	refs/archive/local/codex/buzz-6ddc8efb164a	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-6f0bcb549e2a	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-6f0bcb549e2a	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-6f1e2c449b3a	2e37f07d4565a72daad1212bf3e9cecd14641077	candidate	refs/archive/local/codex/buzz-6f1e2c449b3a	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-6f412a700a32	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-6f412a700a32	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-6f6b376a27a1	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-6f6b376a27a1	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-702d7123ecb3	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-702d7123ecb3	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-725aee41409f	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-725aee41409f	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-742853fed2fc	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-742853fed2fc	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-76171acf08bb	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-76171acf08bb	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7660bdae0497	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-7660bdae0497	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7a2f3d550c4b	2e37f07d4565a72daad1212bf3e9cecd14641077	candidate	refs/archive/local/codex/buzz-7a2f3d550c4b	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7a3f8bb7e44a	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-7a3f8bb7e44a	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7b8e4d180521	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-7b8e4d180521	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7b9120aca5cd	ee526434e8dd2644e32ab44f76a2d537da881fd2	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-7da9bb5a0355	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-7da9bb5a0355	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7e27328f93d6	e1d2ea760a45d5dd2f587cc98d708326786a7d9d	candidate	refs/archive/local/codex/buzz-7e27328f93d6	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7ed7ee4ccd83	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-7ed7ee4ccd83	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7f23e4d9b26b	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-7f23e4d9b26b	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7f8021a0a58c	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-7f8021a0a58c	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-7fbf7a447b9b	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-7fbf7a447b9b	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-81d08d2dec2d	f132e2781c4037f45d61a766300bf06bfc0e7c0d	retain		not proven retired: unique or unmerged history; owner/dependency reconciliation required
local	codex/buzz-81d599d55cba	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-81d599d55cba	exact tip and full reachable history already contained in audited origin/main
local	codex/buzz-842859795685	541f2c163fc99452b6455f7f62f5ff7a7ac6d1f4	candidate	refs/archive/local/codex/buzz-842859795685	complete Git tree is identical to integrated main-history commit ce30599e20a1bfa51425a314cf77073db56d21b6; distinct commit history preserved in bundle
local	codex/buzz-85419d805b5c	d4995210e8142cf6c13a3fa5dab865aca263410f	candidate	refs/archive/local/codex/buzz-85419d805b5c	exact tip and full reachable history already contained in audited origin/main
