scope	name	sha	archive_ref	disposition	reason	pr_closure
local	codex/buzz-d68466291838	99158fd824b83c685dfabb6e4865becacde97145	refs/archive/local/codex/buzz-d68466291838	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/buzz-stdio-roundtrip-e1ebd30d716b	aa24a8252cbefa466f1c37d9964766fc39b4a205	refs/archive/local/codex/buzz-stdio-roundtrip-e1ebd30d716b	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check70-report-20260906	5a02104efec2c8189aafce48c0fca22be793c19a	refs/archive/local/codex/check70-report-20260906	candidate	Only historical check-in report/index changes; approved issue-handoff workflow supersedes report-publication task. Unique report history is preserved, not claimed merged.	987
local	codex/check71-mcp-protocol-20260906	38600b805ab7ef52d88ed8a11b1bb2a0e877f68e	refs/archive/local/codex/check71-mcp-protocol-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check72-mcp-lifecycle-20260906	34a83c1370ac8732dc42811f840e93d2ae1cb2e5	refs/archive/local/codex/check72-mcp-lifecycle-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check72-mcp-reconnect-20260906	e6114d6cf87618c6caa912b50a9a7512ac1e2997	refs/archive/local/codex/check72-mcp-reconnect-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check73-mcp-application-parity-20260906	575e13c0515aa6d68169fbfd69df0eb2d434f393	refs/archive/local/codex/check73-mcp-application-parity-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check74-opacity-bootstrap-20260906	c54edb2602bb6646e95924afe2f2514593d52922	refs/archive/local/codex/check74-opacity-bootstrap-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check75-mcp-composition-20260906	cbc870216ed5d7440100131a240f916acbd89bb0	refs/archive/local/codex/check75-mcp-composition-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check75-report-20260906	435c057a9042920a6fc5889159b77707a2aede62	refs/archive/local/codex/check75-report-20260906	candidate	Only historical check-in report/index changes; approved issue-handoff workflow supersedes report-publication task. Unique report history is preserved, not claimed merged.	989
local	codex/check76-opacity-consumers-20260906	8135ee7164a5cadd5b96b51e52ecb13ca0122c26	refs/archive/local/codex/check76-opacity-consumers-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check77-opacity-replay-20260906	ebd0b1c0bf1deac1d35ab8d7bbc553b6e7c72383	refs/archive/local/codex/check77-opacity-replay-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check78-slice-composition-20260906	9a5f61ee0ac0cf6ef1d42e7eff6110504539ec89	refs/archive/local/codex/check78-slice-composition-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check80-history-acceptance-20260907	aec4a0e576de18d55ae914a134a571fdfbb4feb6	refs/archive/local/codex/check80-history-acceptance-20260907	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/check80-report-20260907	090706c2409874aa734e3bb97c087f126ccccead	refs/archive/local/codex/check80-report-20260907	candidate	Only historical check-in report/index changes; approved issue-handoff workflow supersedes report-publication task. Unique report history is preserved, not claimed merged.	990
local	codex/r03-swatch-inventory-20260906	2584444dfc3fc4bc4d36a1cf44cb55ee23ea3728	refs/archive/local/codex/r03-swatch-inventory-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/r05-notice-regression-81d599	7123fd8c469d6545157b0e483f821e1c44066855	refs/archive/local/codex/r05-notice-regression-81d599	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	codex/r06-orphan-reservation-fix-20260906	f40ad512cb426ddb6d77b41dd28672fa3d560628	refs/archive/local/codex/r06-orphan-reservation-fix-20260906	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	pr944-fetch	dd39e5215f000031c5f75821913cce2e6f971db9	refs/archive/local/pr944-fetch	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
local	pr946-fetch	6d499212fdf447af439d66f5aadb905f6575110d	refs/archive/local/pr946-fetch	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	none
remote	claude/r03-curve-compat	8faadbe5b2ea0b420e2241f280fe81088a792f03	refs/archive/remote/claude/r03-curve-compat	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	959
remote	claude/r03-fixtures-bench	6d499212fdf447af439d66f5aadb905f6575110d	refs/archive/remote/claude/r03-fixtures-bench	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	959,946
remote	claude/r03-inventory	dd39e5215f000031c5f75821913cce2e6f971db9	refs/archive/remote/claude/r03-inventory	candidate	Every non-merge patch is equivalent to main history; zero unmatched patches and zero unique merge commits. Superseded predecessor or historical worker/review alias.	944
remote	codex/40min-checkin-60-20260906	72a5c01472b25b5919187ddba8887cc473cdde12	refs/archive/remote/codex/40min-checkin-60-20260906	candidate	Only historical check-in report/index changes; approved issue-handoff workflow supersedes report-publication task. Unique report history is preserved, not claimed merged.	982
remote	codex/check70-report-20260906	5a02104efec2c8189aafce48c0fca22be793c19a	refs/archive/remote/codex/check70-report-20260906	candidate	Only historical check-in report/index changes; approved issue-handoff workflow supersedes report-publication task. Unique report history is preserved, not claimed merged.	987
remote	codex/check75-report-20260906	435c057a9042920a6fc5889159b77707a2aede62	refs/archive/remote/codex/check75-report-20260906	candidate	Only historical check-in report/index changes; approved issue-handoff workflow supersedes report-publication task. Unique report history is preserved, not claimed merged.	989
remote	codex/check80-report-20260907	090706c2409874aa734e3bb97c087f126ccccead	refs/archive/remote/codex/check80-report-20260907	candidate	Only historical check-in report/index changes; approved issue-handoff workflow supersedes report-publication task. Unique report history is preserved, not claimed merged.	990
